"","Area.Code","Year","meanTDkg"
"307",52,1989,0.0562024591816401
"308",52,1992,0.00734710989754383
"309",52,1995,0.0433693479849324
"310",52,1998,0.0308423984130029
"311",52,2001,-0.00649868346523477
"312",52,2004,-0.0494974638340866
"313",52,2007,-0.0704448065324581
"314",52,2010,-0.086519804467103
"315",52,2013,-0.0481168509821387
"316",53,1989,0.0468640027910599
"317",53,1992,0.0140075145458882
"318",53,1995,0.0285989923193233
"319",53,1998,0.0796424278635662
"320",53,2001,0.0882187569563315
"321",53,2004,0.0460633019046525
"322",53,2007,0.105172001698245
"323",53,2010,0.130686661777489
"324",53,2013,0.0983913555389824
"325",54,1989,0.600844116001354
"326",54,1992,0.590701098387624
"327",54,1995,0.590733664400599
"328",54,1998,0.713986071831275
"329",54,2001,0.764332217195896
"330",54,2004,0.843389436647488
"331",54,2007,0.791424761613214
"332",54,2010,0.726699730606872
"333",54,2013,0.776047070770426
"334",55,1989,-1.94065656565657
"335",55,1992,-2.3343956043956
"336",55,1995,-2.10408432147563
"337",55,1998,-1.16883116883117
"338",55,2001,-0.886642156862745
"339",55,2004,-0.522814350400557
"340",55,2007,-0.389426523297491
"341",55,2010,-0.227272727272727
"342",55,2013,-0.0434343434343435
"343",56,1989,-0.0418174061588185
"344",56,1992,-0.103494689489097
"345",56,1995,-0.12594567618771
"346",56,1998,-0.102156782296916
"347",56,2001,-0.139395817565244
"348",56,2004,-0.074288548220322
"349",56,2007,-0.101141036245028
"350",56,2010,-0.120201621954826
"351",56,2013,-0.0993654086935709
"352",57,1989,0.0562024591816401
"353",57,1992,0.0868867655793315
"354",57,1995,0.158235221050124
"355",57,1998,0.125419718012805
"356",57,2001,0.0726870404179475
"357",57,2004,0.156909791562584
"358",57,2007,0.203009530515605
"359",57,2010,0.168445539514017
"360",57,2013,0.194785928963872
"361",58,1989,-0.731248374308994
"362",58,1992,-1.34374286315016
"363",58,1995,-1.31201346705675
"364",58,1998,-1.56698056410986
"365",58,2001,-1.53486565026045
"366",58,2004,-1.93873510234041
